Time	Fe	Pt	Al2O3
0	2850	2210	10
0.3	10520	2800	0
0.6	9820	2890	10
0.9	8290	3290	10
1.2	7290	3610	0
1.5	7020	3820	10
1.8	6180	4070	0
2.1	5840	3830	0
2.4	5070	3980	0
2.7	5420	4120	10
3	4860	3990	20
3.3	5120	3920	0
3.6	4560	4150	10
3.9	4620	4110	10
4.2	4440	3990	10
4.5	4480	4430	20
4.8	4660	3800	10
5.1	4650	4220	10
5.4	4470	4220	0
5.7	4510	4050	0
6	4370	4000	20
6.3	4410	3850	0
6.6	4840	4040	40
6.9	4130	4620	0
7.2	4570	4480	20
7.5	4650	4340	0
7.8	4610	4340	0
8.1	5190	4430	10
8.4	4640	4250	20
8.7	4630	4360	20
9	4790	3860	30
9.3	4780	3860	20
9.6	4860	4270	40
9.9	5060	4260	20
10.2	5240	4150	10
10.5	5200	4160	20
10.8	5050	4040	20
11.1	5200	4040	0
11.4	4910	4130	10
11.7	5020	3950	10
12	5790	3950	10
12.3	5500	4010	0
12.6	5310	3730	20
12.9	6350	3530	30
13.2	5820	3800	30
13.5	5920	4140	10
13.8	6210	4190	0
14.1	6440	4160	10
14.4	6440	4200	10
14.7	6020	4350	0
15	6330	4100	10
15.3	6420	3790	30
15.6	6660	3750	20
15.9	6450	4320	0
16.2	7090	3820	30
16.5	6660	3670	30
16.8	7280	3860	20
17.1	7210	3970	0
17.4	7530	3850	10
17.7	8030	3860	10
18	8500	3660	10
18.3	8920	3710	10
18.6	9680	3280	10
18.9	9720	3400	10
19.2	10850	3510	0
19.5	10850	3010	10
19.8	13340	3270	50
20.1	14400	2880	10
20.4	15010	2740	30
20.7	16140	2470	20
21	16770	2440	40
21.3	17310	2290	10
21.6	18330	2120	0
21.9	18970	1940	30
22.2	19860	1890	50
22.5	21080	1840	10
22.8	21130	1690	0
23.1	20920	1650	30
23.4	21700	1560	10
23.7	21920	1630	20
24	21810	1310	10
24.3	21600	1080	10
24.6	21400	1140	30
24.9	21920	1240	10
25.2	23230	980	40
25.5	22190	1040	40
25.8	22180	1220	20
26.1	23070	1190	70
26.4	23200	900	30
26.7	21880	1060	50
27	21910	970	100
27.3	22030	950	70
27.6	21920	980	50
27.9	22030	840	40
28.2	20550	870	70
28.5	21960	920	40
28.8	21930	690	10
29.1	21700	770	20
