Time	Fe	Pt	Al2O3
29.4	21970	770	0
29.7	20610	680	30
30	21280	760	40
30.3	22260	720	70
30.6	21770	600	30
30.9	21580	650	20
31.2	22260	720	30
31.5	21580	600	70
31.8	20950	520	50
32.1	20620	660	20
32.4	20540	570	20
32.7	20860	450	40
33	21500	510	40
33.3	20390	560	20
33.6	20450	310	30
33.9	20800	530	10
34.2	21040	430	10
34.5	21040	440	20
34.8	20520	380	30
35.1	20630	390	60
35.4	19250	480	30
35.7	20270	400	30
36	19710	420	40
36.3	19440	440	50
36.6	19750	300	10
36.9	19530	350	10
37.2	19000	330	20
37.5	17890	360	70
37.8	18800	420	30
38.1	19150	310	40
38.4	18480	180	50
38.7	18460	190	60
39	18620	330	70
39.3	18420	280	30
39.6	18420	280	80
39.9	18110	220	40
40.2	18420	310	50
40.5	17020	240	100
40.8	17890	170	100
41.1	16370	180	80
41.4	17180	250	140
41.7	16440	180	130
42	15930	260	130
42.3	16200	230	250
42.6	16100	90	300
42.9	15540	190	300
43.2	15410	210	280
43.5	14580	200	400
43.8	14480	150	570
44.1	13260	160	540
44.4	13500	140	540
44.7	12180	160	900
45	11410	140	990
45.3	11050	140	1340
45.6	9470	140	1720
45.9	6650	110	900
46.2	6200	80	1040
46.5	5520	90	850
46.8	5450	60	1190
47.1	5060	80	960
47.4	5200	110	980
47.7	4640	110	1060
48	3980	50	1220
48.3	3970	40	1370
48.6	4090	60	1470
48.9	3440	150	1290
49.2	3440	40	1450
49.5	2940	40	1310
49.8	2850	80	1550
50.1	2520	70	1380
50.4	2510	80	1370
50.7	2350	80	1460
51	2220	30	1370
51.3	2150	110	1730
51.6	1950	70	1600
51.9	1840	50	1840
52.2	1680	10	1590
52.5	1750	80	1770
52.8	1480	90	1630
53.1	1230	80	1750
53.4	1320	40	1870
53.7	1060	40	1950
54	1100	50	2120
54.3	960	30	1910
54.6	960	90	1740
54.9	960	30	1760
55.2	820	50	2050
55.5	900	70	2010
55.8	780	30	2190
56.1	870	50	2080
56.4	610	60	1980
56.7	560	60	2230
57	580	50	2110
57.3	550	50	2330
57.6	620	40	2220
57.9	510	0	1990
58.2	450	60	1980
58.5	380	20	2120
58.8	580	10	2000
59.1	370	30	2090
59.4	350	40	2400
59.7	350	60	1900
60	200	30	2150
60.3	320	50	2190
60.6	340	20	2080
60.9	270	10	1970
61.2	330	30	1990
61.5	280	20	2250
61.8	360	0	2390
62.1	170	20	2110
62.4	270	10	2340
62.7	340	60	2180
63	290	40	1980
63.3	220	30	2090
63.6	230	100	2220
63.9	280	30	2030
64.2	250	40	2000
64.5	240	70	2000
64.8	220	20	2250
65.1	320	30	2040
65.4	230	40	2310
65.7	320	60	2110
66	260	20	2180
66.3	300	20	2020
66.6	220	30	2170
66.9	220	20	2040
67.2	250	20	2180
67.5	250	20	2270
67.8	200	50	2090
68.1	280	10	2240
68.4	210	10	2210
68.7	280	10	2390
69	280	20	2280
69.3	270	50	2420
69.6	150	50	2360
69.9	270	0	2330
70.2	220	10	2520
70.5	270	20	2230
70.8	270	20	2340
71.1	240	20	2480
71.4	210	20	2330
71.7	290	20	2400
72	230	40	2240
72.3	250	20	2330
72.6	180	30	2140
72.9	200	10	2330
73.2	180	30	2180
73.5	210	20	2240
73.8	160	10	2180
74.1	180	30	2530
74.4	260	10	2330
74.7	260	20	2400
75	180	30	2510
75.3	200	0	2210
75.6	250	20	2160
75.9	160	10	2300
76.2	160	10	2610
76.5	90	40	2070
76.8	210	30	2340
77.1	190	20	1990
77.4	300	10	2350
77.7	220	10	2300
78	300	10	2680
78.3	270	10	2570
78.6	120	0	2350
78.9	190	20	2490
79.2	160	20	2340
79.5	130	0	2230
79.8	130	10	2350
80.1	240	0	2260
80.4	300	0	2650
80.7	270	0	2590
81	170	0	2310
81.3	240	10	2470
81.6	320	40	2390
81.9	260	20	2390
82.2	200	20	2380
82.5	220	20	2410
82.8	190	10	2350
83.1	180	0	2530
83.4	140	20	2470
83.7	230	10	2660
84	160	0	2480
84.3	120	20	2330
84.6	200	20	2330
84.9	130	20	2550
85.2	150	20	2500
85.5	210	0	2460
85.8	190	10	2400
86.1	190	20	2490
86.4	230	10	2430
86.7	160	0	2130
87	110	30	2570
87.3	200	30	2390
87.6	130	10	2370
87.9	220	0	2390
88.2	170	10	2550
88.5	170	10	2280
88.8	150	30	2430
89.1	160	20	2480
89.4	150	10	2360
89.7	250	10	2620
90	160	0	2800
90.3	180	20	2320
90.6	140	0	2470
90.9	170	0	2160
91.2	110	0	2420
91.5	200	10	2450
91.8	150	0	2270
92.1	130	10	2260
92.4	170	0	2380
92.7	220	10	2380
93	170	20	2380
93.3	150	0	2720
93.6	160	0	2340
93.9	70	10	2300
94.2	120	10	2300
94.5	180	0	0
