Time	Fe	Pt	Al2O3
87	130	0	1860
87.3	180	20	1810
87.6	220	10	2020
87.9	180	0	1770
88.2	170	10	1920
88.5	70	10	1950
88.8	120	10	2000
89.1	110	20	1940
89.4	150	20	1840
89.7	130	0	2080
90	130	20	2070
90.3	120	0	2000
90.6	120	10	2140
90.9	190	0	1970
91.2	190	20	2100
91.5	150	10	2180
91.8	50	10	2210
92.1	120	20	2060
92.4	150	0	1920
92.7	100	10	1870
93	120	0	1900
93.3	150	20	2280
93.6	110	0	1960
93.9	130	10	2030
94.2	120	0	2240
94.5	90	10	2270
94.8	170	0	1850
95.1	170	0	1850
